case_id,docket_no,title,state,date,type,pending,opinion_link
DA-24-0039_Montana_2026/03/17,DA 24-0039,Montanans Against Irresponsible Densification v. State,Montana,"March 17, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-03/montana_densification_5824b10a-9859-ceaf-8bf7-9cfdb4a00000.pdf
WD88392_Missouri_2025/12/04,WD88392,Fitz-James v. Hoskins,Missouri,"December 4, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-02/court_of_appeals_of_missouri-opinion.pdf
SC101308_Missouri_2026/01/23,SC101308,Nicholson v. State,Missouri,"January 23, 2026",Government Structure,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_missouri-opinion_0.pdf
OP-25-0729_Montana_2025/11/18,OP 25-0729,Montanans for Nonpartisan Courts v. Knudsen,Montana,"November 18, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_montana-opinion.pdf
2024-SC-0022;-2024-SC-0024_Kentucky_2026/02/19,2024-SC-0022; 2024-SC-0024,Commonwealth v. Council for Better Education; LaFontaine v. Council for Better Education,Kentucky,"February 19, 2026",Education,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_kentucky-opinion.pdf
98-MAP-2023_Pennsylvania_2025/12/16,98 MAP 2023,Commonwealth v. Kurtz,Pennsylvania,"December 16, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_pennsylvania-concurring_opinion_mundy.pdf
DA-23-0462_Montana_2026/02/10,DA 23-0462,City of Kalispell v. Doman,Montana,"February 10, 2026",Speech and Religion,False,https://statecourtreport.org/sites/default/files/2026-02/supreme_court_of_montana-opinion_0.pdf
CV-24-704_Arkansas_2025/12/11,CV-24-704,State v. Good Day Farm Arkansas,Arkansas,"December 11, 2025",Voting Rights and Elections,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_arkansas-opinion.pdf
190-C.D.-2024;-224-C.D.-2024_Pennsylvania_2025/12/09,190 C.D. 2024; 224 C.D. 2024,Rivera v. Borough of Pottstown,Pennsylvania,"December 9, 2025",Civil Rights,False,https://statecourtreport.org/sites/default/files/2025-12/commonwealth_court_of_pennsylvania-opinion.pdf
58-EAP-2024_Pennsylvania_2026/01/21,58 EAP 2024,Chilutti v. Uber,Pennsylvania,"January 21, 2026",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_pennsylvania-opinion_0.pdf
SC100933_Missouri_2026/01/13,SC100933,E.N. v. Kehoe,Missouri,"January 13, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_missouri-opinion.pdf
95_New-York_2025/11/20,95,People v. Sargeant,New York,"November 20, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/2025-12/court_of_appeals_of_new_york-opinion.pdf
SJC-13816_Massachusetts_2026/04/15,SJC-13816,Commonwealth v. Arias,Massachusetts,"April 15, 2026",Criminal Law,False,https://statecourtreport.org/sites/default/files/2026-04/arias.pdf
28310_South-Carolina_2026/01/21,28310,"Opternative, Inc. v. South Carolina Board of Medical Examiners",South Carolina,"January 21, 2026",Civil Rights,False,https://statecourtreport.org/sites/default/files/2026-01/supreme_court_of_south_carolina-opinion.pdf
-2025-5094_Ohio_2025/11/13, 2025-5094,State ex rel. Boggs v. City of Cleveland,Ohio,"November 13, 2025",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_ohio-opinion.pdf
167300-1_Michigan_2025/12/12,167300-1,Michigan Immigrant Rights Center v. Governor,Michigan,"December 12, 2025",Civil Due Process,False,https://statecourtreport.org/sites/default/files/2025-12/supreme_court_of_michigan-opinion.pdf
125003_Kansas_2025/06/28,125003,State v. Stubbs,Kansas,"June 28, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Stubbs%2C%20Kan.%20125%2C003.pdf
125269_Kansas_2025/06/28,125269,State v. Phipps,Kansas,"June 28, 2025",Civil Due Process,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Phipps%2C%20Kan.%20125%2C269.pdf
124510_Kansas_2025/06/27,124510,State v. Green,Kansas,"June 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Green%2C%20Kan.%20124%2C510.pdf
50707_Idaho_2025/06/27,50707,State v. Fletcher,Idaho,"June 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Fletcher%2C%20Idaho%2050707.pdf
24-0261_Iowa_2025/06/27,24-0261,State v. Woods,Iowa,"June 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Woods%2C%20Iowa%2024-0261.pdf
2022AP959-CR_Wisconsin_2025/06/27,2022AP959-CR,State v. Ramirez,Wisconsin,"June 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Ramirez%2C%20Wis.%202022AP959-CR.pdf
24-0162_Texas_2025/06/27,24-0162,Paxton v. American Oversight,Texas,"June 27, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Paxton%20v.%20Am.%20Oversight%2C%20Tex.%2024-0162.pdf
122782_Kansas_2025/06/27,122782,State v. Ninh,Kansas,"June 27, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20Ninh%2C%20Kan.%20122%2C782.pdf
-104117-9_Washington_2025/11/06, 104117-9,Eyman v. Hobbs,Washington,"November 6, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_washington-opinion.pdf
S25A0023_Georgia_2025/06/26,S25A0023,Lewis v. State,Georgia,"June 26, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Lewis%20v.%20State%2C%20Ga.%20S25A0023.pdf
23-455_West-Virginia_2025/06/26,23-455,State v. McDonald,West Virginia,"June 26, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/State%20v.%20McDonald%2C%20W.%20Va.%2023-455.pdf
A24-0507_Minnesota_2025/06/25,A24-0507,"Jurgensen v. Dave Perkins Contracting, Inc.",Minnesota,"June 25, 2025",Economic and Labor Rights,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Jurgensen%20v.%20Dave%20Perkins%20Contracting%2C%20Inc.%2C%20Minn.%20A24-0507.pdf
2024AP1713_Wisconsin_2025/06/25,2024AP1713,Wisconsin State Legislature v. Wisconsin Department of Public Instruction,Wisconsin,"June 25, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Wis.%20State%20Legislature%20v.%20Wis.%20Dep%27t%20of%20Pub.%20Instruction%2C%20Wis.%202024AP1713.pdf
S24G1346_Georgia_2025/06/24,S24G1346,Guy v. Hous. Authority of Augusta,Georgia,"June 24, 2025",Government Structure,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Guy%20v.%20Hous.%20Auth.%20of%20Augusta%2C%20Ga.%20S24G1346.pdf
S124131_California_2025/06/23,S124131,People v. Barrett,California,"June 23, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/People%20v.%20Barrett%2C%20Cal.%20S124131.pdf
DA-24-0501_Montana_2025/11/04,DA 24-0501,Netzer v. State,Montana,"November 4, 2025",Civil Rights,False,https://statecourtreport.org/sites/default/files/2025-11/supreme_court_of_montana-opinion.pdf
2023-SC-0124-MR_Kentucky_2025/06/20,2023-SC-0124-MR,Johnson v. Commonwealth,Kentucky,"June 20, 2025",Criminal Law,False,https://statecourtreport.org/sites/default/files/fastcase/converted/Johnson%20v.%20Commonwealth%2C%20Ky.%202023-SC-0124-MR.pdf
