FIPS State and County Codes,Geographic area name,RAE Report Links
05009,"Boone County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05009&geoType=county&view=report&reportType=detailed
05011,"Bradley County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05011&geoType=county&view=report&reportType=detailed
05013,"Calhoun County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05013&geoType=county&view=report&reportType=detailed
05015,"Carroll County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05015&geoType=county&view=report&reportType=detailed
05017,"Chicot County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05017&geoType=county&view=report&reportType=detailed
05019,"Clark County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05019&geoType=county&view=report&reportType=detailed
05021,"Clay County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05021&geoType=county&view=report&reportType=detailed
05023,"Cleburne County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05023&geoType=county&view=report&reportType=detailed
05025,"Cleveland County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05025&geoType=county&view=report&reportType=detailed
05027,"Columbia County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05027&geoType=county&view=report&reportType=detailed
05029,"Conway County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05029&geoType=county&view=report&reportType=detailed
05031,"Craighead County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05031&geoType=county&view=report&reportType=detailed
05033,"Crawford County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05033&geoType=county&view=report&reportType=detailed
05035,"Crittenden County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05035&geoType=county&view=report&reportType=detailed
05037,"Cross County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05037&geoType=county&view=report&reportType=detailed
05039,"Dallas County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05039&geoType=county&view=report&reportType=detailed
05041,"Desha County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05041&geoType=county&view=report&reportType=detailed
05043,"Drew County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05043&geoType=county&view=report&reportType=detailed
05045,"Faulkner County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05045&geoType=county&view=report&reportType=detailed
05047,"Franklin County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05047&geoType=county&view=report&reportType=detailed
05049,"Fulton County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05049&geoType=county&view=report&reportType=detailed
05051,"Garland County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05051&geoType=county&view=report&reportType=detailed
05053,"Grant County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05053&geoType=county&view=report&reportType=detailed
05055,"Greene County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05055&geoType=county&view=report&reportType=detailed
05057,"Hempstead County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05057&geoType=county&view=report&reportType=detailed
05059,"Hot Spring County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05059&geoType=county&view=report&reportType=detailed
05061,"Howard County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05061&geoType=county&view=report&reportType=detailed
05063,"Independence County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05063&geoType=county&view=report&reportType=detailed
05065,"Izard County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05065&geoType=county&view=report&reportType=detailed
05067,"Jackson County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05067&geoType=county&view=report&reportType=detailed
05069,"Jefferson County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05069&geoType=county&view=report&reportType=detailed
05071,"Johnson County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05071&geoType=county&view=report&reportType=detailed
05073,"Lafayette County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05073&geoType=county&view=report&reportType=detailed
05075,"Lawrence County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05075&geoType=county&view=report&reportType=detailed
05077,"Lee County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05077&geoType=county&view=report&reportType=detailed
05079,"Lincoln County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05079&geoType=county&view=report&reportType=detailed
05081,"Little River County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05081&geoType=county&view=report&reportType=detailed
05083,"Logan County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05083&geoType=county&view=report&reportType=detailed
05085,"Lonoke County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05085&geoType=county&view=report&reportType=detailed
05087,"Madison County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05087&geoType=county&view=report&reportType=detailed
05089,"Marion County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05089&geoType=county&view=report&reportType=detailed
05091,"Miller County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05091&geoType=county&view=report&reportType=detailed
05093,"Mississippi County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05093&geoType=county&view=report&reportType=detailed
05095,"Monroe County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05095&geoType=county&view=report&reportType=detailed
05097,"Montgomery County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05097&geoType=county&view=report&reportType=detailed
05099,"Nevada County, Arkansas",https://cbb.census.gov/rae/#industry0=00&geoId=05099&geoType=county&view=report&reportType=detailed
